date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:30	68901/68901	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:30%20GMT	https://www.w3schools.com/xml/schema_example.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/schema_example.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:33	55301/55301	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:32%20GMT	https://www.w3schools.com/xml/xml_whatis.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_whatis.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:35	58367/58367	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:35%20GMT	https://www.w3schools.com/xml/xml_usedfor.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_usedfor.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:38	54494/54494	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:37%20GMT	https://www.w3schools.com/xml/xml_tree.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_tree.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:41	57805/57805	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:41%20GMT	https://www.w3schools.com/xml/xml_syntax.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_syntax.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:46	56811/56811	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:44%20GMT	https://www.w3schools.com/xml/xml_elements.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_elements.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:47	55824/55824	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:46%20GMT	https://www.w3schools.com/xml/xml_attributes.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_attributes.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:51	58256/58256	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:50%20GMT	https://www.w3schools.com/xml/xml_namespaces.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_namespaces.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:53	61080/61080	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:52%20GMT	https://www.w3schools.com/xml/xml_display.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_display.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:34:57	55219/55219	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:34:56%20GMT	https://www.w3schools.com/xml/xml_http.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xml_http.html	(from https://www.w3schools.com/xml/schema_intro.asp)
